seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s
1,brownout,naive_retry,513,0.9980506822612085,0,95,804.9999999999949,1572.26562499999,1.5224171539961013,136.45874700364584,447.29309172159765,544.0207924737722,,,,,
2,brownout,naive_retry,540,0.9981481481481481,0,78,819.7999999999945,1520.964749536168,1.5240740740740741,137.3999502081541,419.88988346476253,513.7884398023552,,,,,
3,brownout,naive_retry,526,1.0,0,82,780.9999999999952,1484.7908745247057,1.4581749049429658,134.7998151610168,436.2865374954795,504.61973135394396,,,,,
4,brownout,naive_retry,549,1.0,0,96,855.7999999999939,1558.8342440801346,1.5628415300546448,139.33328767961757,436.60137934141085,537.3287406510767,,,,,
5,brownout,naive_retry,522,0.9961685823754789,0,86,800.5999999999949,1539.6153846153748,1.5076628352490422,140.39202435496645,429.9083123834721,517.805694596444,,,,,
6,brownout,naive_retry,563,0.9964476021314387,0,91,860.1999999999941,1533.3333333333228,1.5399644760213145,140.72154661455102,421.9366358014945,512.086705322949,,,,,
7,brownout,naive_retry,540,1.0,0,94,822.9999999999942,1524.0740740740632,1.5351851851851852,132.3023471920501,417.2541115366621,583.808287404282,,,,,
8,brownout,naive_retry,545,1.0,0,95,854.9999999999942,1568.8073394495304,1.544954128440367,141.12029686648202,432.0644916644769,544.7661603061947,,,,,
9,brownout,naive_retry,595,0.9949579831932773,0,91,922.5999999999933,1558.4459459459345,1.5596638655462185,138.1854212373171,422.10075232445524,523.0342101980277,,,,,
10,brownout,naive_retry,518,0.9980694980694981,0,82,802.1999999999945,1551.64410058026,1.5463320463320462,134.27445380613563,439.6049898929832,524.9585346442834,,,,,
11,brownout,naive_retry,542,0.9944649446494465,0,93,861.3999999999942,1598.144712430416,1.555350553505535,140.216290879981,428.24783694582516,492.1491013851223,,,,,
12,brownout,naive_retry,501,1.0,0,88,761.3999999999952,1519.7604790419066,1.4850299401197604,146.17612468295738,430.2083409935908,503.49956692519436,,,,,
13,brownout,naive_retry,540,0.9981481481481481,0,99,813.5999999999946,1509.4619666048136,1.4907407407407407,127.50649857633334,423.9854060564685,486.21788333220366,,,,,
14,brownout,naive_retry,548,0.9981751824817519,0,87,819.9999999999948,1499.0859232175405,1.5054744525547445,129.75641645561677,432.70700358447175,507.9004515359229,,,,,
15,brownout,naive_retry,574,0.9965156794425087,0,93,869.9999999999942,1520.9790209790108,1.5121951219512195,134.49466932627087,425.56132270887656,529.7411455698903,,,,,
16,brownout,naive_retry,558,0.996415770609319,0,88,847.3999999999943,1524.1007194244503,1.521505376344086,130.94478022871095,436.9626347635151,547.1033778094584,,,,,
17,brownout,naive_retry,504,1.0,0,88,777.3999999999949,1542.4603174603074,1.5198412698412698,139.54567335686767,429.6866966211446,499.5235915411463,,,,,
18,brownout,naive_retry,520,1.0,0,92,805.599999999995,1549.2307692307597,1.4942307692307693,140.51798198879897,447.78609594682257,569.1962828052335,,,,,
19,brownout,naive_retry,512,0.99609375,0,88,777.799999999995,1525.0980392156764,1.513671875,134.88903998727693,430.1223849866292,521.9008655843495,,,,,
20,brownout,naive_retry,521,0.9980806142034548,0,90,792.9999999999949,1524.9999999999902,1.4875239923224568,134.76920220856323,453.01911282195715,540.5520818461082,,,,,
21,brownout,naive_retry,544,0.9963235294117647,0,81,830.7999999999946,1532.8413284132741,1.505514705882353,138.07911678257096,431.2327337943402,495.89004073982505,,,,,
22,brownout,naive_retry,557,1.0,0,104,832.9999999999943,1495.5116696588766,1.497307001795332,128.55933418297263,444.52987452280604,509.58591076409266,,,,,
23,brownout,naive_retry,534,1.0,0,83,808.1999999999947,1513.4831460674059,1.4981273408239701,137.16136446872542,434.35136313769203,507.02017071124465,,,,,
24,brownout,naive_retry,568,1.0,0,90,877.5999999999938,1545.0704225352004,1.5404929577464788,130.66375816930258,423.434243457908,504.65303374665245,,,,,
25,brownout,naive_retry,535,1.0,0,98,804.3999999999945,1503.5514018691488,1.5084112149532711,129.22829531731577,436.81137162486675,502.1532601252529,,,,,
26,brownout,naive_retry,502,1.0,0,91,765.7999999999953,1525.4980079681181,1.4860557768924303,138.65791289898107,431.15606768504176,532.0187325608599,,,,,
27,brownout,naive_retry,542,0.9981549815498155,0,90,839.1999999999939,1551.2014787430571,1.566420664206642,129.8195280090431,420.1474709955396,532.331485840291,,,,,
