seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s,label
22,generation_outage,durable_workflow,557,1.0,0,0,733.3999999999959,1316.6965888689333,1.104129263913824,84.90536378423894,232.42825400244874,330.9026299532769,230,1.0,92.03663912197726,256.4425331196637,327.2344737905794,floor=0.20
23,generation_outage,durable_workflow,534,0.99812734082397,0,0,708.799999999996,1329.8311444652834,1.1142322097378277,85.39066180803424,216.54186968173371,356.7730542411666,233,1.0,101.86610699815287,224.5119000169384,358.6610902686955,floor=0.20
24,generation_outage,durable_workflow,568,0.9982394366197183,0,0,748.9999999999959,1320.9876543209805,1.1109154929577465,82.83386311868162,215.7878009457163,322.6774325731669,239,1.0,94.34015749252103,255.90998045106187,325.44114648091,floor=0.20
25,generation_outage,durable_workflow,535,1.0,0,0,731.999999999996,1368.224299065413,1.1476635514018692,90.21668409831068,239.5691667837716,346.7835132549352,217,1.0,104.31832974195947,266.3661326169189,406.3602739487435,floor=0.20
26,generation_outage,durable_workflow,502,1.0,0,0,677.1999999999965,1349.003984063738,1.1354581673306774,86.0775954319887,246.19706921169973,355.90480217810887,209,1.0,105.94904378991373,263.86841099899016,357.38203298425424,floor=0.20
27,generation_outage,durable_workflow,542,1.0,0,1,725.9999999999955,1339.4833948339399,1.1107011070110702,88.50116165910367,225.86282094344142,394.2270932642332,243,1.0,99.12481195151167,250.78660034844688,443.23915490029447,floor=0.20
28,generation_outage,durable_workflow,524,1.0,0,0,677.1999999999964,1292.3664122137334,1.08206106870229,86.5497954590042,219.89605278473618,317.06808073288926,214,1.0,100.21842579641589,232.0406597888682,307.604228176392,floor=0.20
29,generation_outage,durable_workflow,535,0.9981308411214953,0,0,703.599999999996,1317.6029962546743,1.0953271028037384,87.73393754004246,224.90805876376294,287.30467988711825,238,0.9957983193277311,98.61610612157392,224.32467759041947,324.76306808259505,floor=0.20
30,generation_outage,durable_workflow,512,1.0,0,0,680.3999999999963,1328.906249999993,1.11328125,84.86865386016899,239.96637050243226,360.9865223206341,222,1.0,93.80586473662675,250.6155000071576,369.65643830116414,floor=0.20
1,generation_outage,durable_workflow,513,1.0,0,0,672.1999999999963,1310.3313840155872,1.1091617933723197,86.76344716533941,235.58984075652552,306.46257038408305,212,1.0,98.01521454885051,253.20795888540897,330.52958172883336,floor=0.30
2,generation_outage,durable_workflow,540,1.0,0,0,697.7999999999967,1292.222222222216,1.1055555555555556,86.26442981662927,227.2526439829321,301.02254158319556,214,1.0,98.84799447571709,259.5220067487837,332.7308538230418,floor=0.30
3,generation_outage,durable_workflow,526,0.9980988593155894,0,0,687.7999999999965,1310.0952380952315,1.1045627376425855,84.37915410348751,204.49804990013263,307.3971028648316,219,0.9954337899543378,100.51362148259227,242.9960286225937,316.19541299874675,floor=0.30
4,generation_outage,durable_workflow,549,0.9963570127504554,0,0,721.7999999999963,1319.5612431444174,1.1074681238615665,86.06728678726154,224.0175911015349,318.9971798319906,241,0.991701244813278,98.33415863043274,247.6539818468725,332.74506220101,floor=0.30
5,generation_outage,durable_workflow,522,1.0,0,0,680.9999999999967,1304.597701149419,1.10727969348659,90.85242130965344,225.62735471852466,353.74946250251605,215,1.0,101.90407289386735,222.48077254004966,356.98619716464873,floor=0.30
